"","x"
"1","10.1016/j.jtbi.2007.07.025"
"2","10.1074/jbc.r117.807453"
"3","10.1074/jbc.ra118.006121"
"4","10.1016/j.nbt.2011.11.016"
"5","10.1002/ana.25083"
"6","10.3389/fimmu.2021.729681"
"7","10.1371/journal.pone.0194225"
"8","10.1002/pmic.201300187"
"9","10.1093/nar/gkz008"
"10","10.1039/d2cb00035k"
"11","10.1007/bf02084158"
"12","10.1038/srep07553"
"13","10.1038/nphys3230"
"14","10.1103/physreve.101.022415"
"15","10.1016/j.bpj.2021.11.024"
"16","10.1002/prot.26454"
"17","10.1007/s11047-017-9646-x"
"18","10.1063/1.4999771"
"19","10.1103/revmodphys.92.025001"
"20","10.1021/acs.jctc.1c00317"
"21","10.1103/physrevx.5.041039"
"22","10.1063/1.5042253"
"23","10.1098/rsos.231369"
"24","10.1103/physrevlett.100.080403"
"25","10.1073/pnas.71.10.4135"
"26","10.1016/0014-5793(80)80211-0"
"27","10.1073/pnas.030541097"
"28","10.1038/nature07582"
"29","10.1098/rstb.2016.0185"
"30","10.1098/rstb.2016.0537"
"31","10.1016/j.molcel.2010.07.014"
"32","10.1038/s41467-021-23457-6"
"33","10.7554/elife.41017"
"34","10.1016/j.molcel.2022.09.021"
"35","10.1128/mcb.15.1.298"
"36","10.1021/acs.jpcb.7b06828"
"37","10.1034/j.1600-065x.2002.18516.x"
"38","10.4161/onci.1.1.17938"
"39","10.1016/s0021-9258(18)91061-6"
"40","10.1016/0300-9084(87)90207-0"
"41","10.1016/j.copbio.2013.04.008"
"42","10.1016/j.pbi.2014.04.005"
"43","10.1111/j.1469-185x.2008.00052.x"
"44","10.1111/j.1365-313x.2011.04598.x"
"45","10.1016/j.biochi.2015.04.013"
"46","10.1038/nmicrobiol.2017.117"
"47","10.1073/pnas.0705988104"
"48","10.1261/rna.499407"
"49","10.1038/ncb0306-209"
"50","10.1038/emboj.2008.195"
"51","10.1098/rsif.2008.0280"
"52","10.1371/journal.pone.0169464"
"53","10.1063/5.0133489"
"54","10.1021/ja709971y"
"55","10.1016/j.tetlet.2009.12.012"
"56","10.1002/em.2860080511"
"57","10.1016/0168-9525(87)90162-4"
"58","10.1016/s0021-9258(17)37742-6"
"59","10.1016/j.ijmm.2013.07.006"
"60","10.1039/d3en00219e"
"61","10.1016/s0021-9258(19)86634-6"
"62","10.1016/s0021-9258(19)69206-9"
"63","10.1073/pnas.0808831105"
"64","10.1088/1478-3975/13/6/066007"
"65","10.1016/j.jmb.2010.04.038"
"66","10.1111/j.1432-1033.1992.tb17441.x"
"67","10.1016/j.bbapap.2005.11.020"
"68","10.1016/0014-5793(78)81001-1"
"69","10.1146/annurev.micro.091208.073210"
"70","10.1103/physreve.96.012405"
"71","10.7554/elife.75263"
"72","10.1063/5.0166848"
"73","10.1128/jb.179.14.4567-4574.1997"
"74","10.1128/jb.183.23.6957-6960.2001"
"75","10.1109/memb.2006.1578663"
"76","10.1016/j.jtbi.2011.11.031"
"77","10.1088/1478-3975/9/4/045005"
"78","10.1016/s0021-9258(17)30278-8"
"79","10.1103/physreve.93.042420"
"80","10.1063/5.0043671"
"81","10.1103/physrevb.105.155401"
"82","10.1021/bi00302a020"
"83","10.1002/cbic.200600137"
"84","10.1002/ejoc.200300015"
"85","10.1021/jp8071926"
"86","10.1371/journal.pone.0000244"
"87","10.1016/j.ceb.2009.11.012"
"88","10.1103/physrevx.11.031055"
"89","10.3390/life12040567"
"90","10.1093/nar/gkad1190"
"91","10.1016/j.jtbi.2011.08.023"
"92","10.1371/journal.pone.0096039"
"93","10.1142/s0217979218400015"
"94","10.1007/s41048-020-00115-w"
"95","10.1103/physreve.99.022423"
"96","10.1038/s41467-023-36705-8"
"97","10.1103/physrevlett.132.037101"
"98","10.1073/pnas.1506823112"
"99","10.1038/ncomms12307"
"100","10.1088/1367-2630/ac0389"
"101","10.1063/5.0077865"
"102","10.1016/j.coisb.2022.100435"
"103","10.1073/pnas.2211203120"
"104","10.1016/j.tig.2023.11.003"
"105","10.1038/nsmb1093"
"106","10.1146/annurev-biochem-040320-103630"
"107","10.1103/physreve.106.064128"
"108","10.1007/bf02428051"
"109","10.1016/0022-2836(88)90301-4"
"110","10.1103/physrevlett.115.260603"
"111","10.1088/1367-2630/acc966"
"112","10.1016/j.cell.2009.01.019"
"113","10.3390/pathogens11121469"
"114","10.1111/imr.13058"
"115","10.1016/j.copbio.2009.08.006"
"116","10.1038/ncomms9500"
"117","10.1021/ja1061399"
"118","10.1103/physreve.89.022712"
"119","10.1016/j.coisb.2017.12.005"
"120","10.1038/s41467-023-40404-9"
"121","10.1261/rna.079850.123"
"122","10.1088/1478-3975/13/6/066011"
"123","10.1371/journal.pone.0202331"
"124","10.1016/j.bpj.2020.06.002"
"125","10.1088/1478-3975/6/3/036011"
"126","10.1103/physreve.93.042419"
"127","10.1103/physreve.100.012131"
"128","10.1063/1.5145100"
"129","10.1016/j.molcel.2008.11.017"
"130","10.1091/mbc.e11-08-0722"
"131","10.1016/0014-5793(85)80065-x"
"132","10.1096/fba.2020-00022"
"133","10.1016/j.bbagrm.2013.02.006"
"134","10.1038/s41467-021-23459-4"
"135","10.1101/gr.225615.117"
"136","10.1093/nar/gkab1231"
"137","10.1021/bi00342a019"
"138","10.1146/annurev.physchem.58.032806.104550"
"139","10.3389/fbioe.2020.00893"
"140","10.1016/j.mib.2022.102149"
"141","10.1021/jp0124645"
"142","10.1073/pnas.2103598118"
"143","10.3724/abbs.2023132"
"144","10.1038/342142a0"
"145","10.1007/bf00596848"
"146","10.1016/s0006-3495(02)75633-6"
"147","10.1016/j.sbi.2021.11.005"
"148","10.1002/wcms.1623"
"149","10.1016/j.bpj.2014.10.033"
"150","10.1016/j.cell.2014.08.042"
"151","10.1016/j.cell.2009.01.036"
"152","10.7554/elife.74509"
"153","10.1093/nar/gkx849"
"154","10.1016/j.bpj.2022.03.005"
"155","10.1007/s11224-014-0397-3"
"156","10.1017/s0033583500005205"
"157","10.1002/ange.19850971206"
"158","10.1002/ciuz.19930270513"
"159","10.1126/science.1206629"
"160","10.1101/gad.1336305"
"161","10.4161/rna.22547"
"162","10.1063/1.4938009"
"163","10.1126/science.1060612"
"164","10.1016/j.tibs.2016.06.001"
"165","10.1111/j.1742-4658.2011.08363.x"
"166","10.3390/molecules22091427"
"167","10.1016/j.jmb.2013.02.038"
"168","10.1073/pnas.1721431115"
"169","10.15252/embj.2019103365"
"170","10.1016/j.jmb.2014.07.005"
"171","10.1016/j.biochi.2015.02.021"
"172","10.1021/acschembio.3c00676"
"173","10.1128/jb.02579-14"
"174","10.1261/rna.054486.115"
"175","10.1093/nar/gkz760"
"176","10.1016/j.bpj.2010.10.026"
"177","10.1261/rna.2232710"
"178","10.1021/acs.nanolett.5b03331"
"179","10.1038/nature20560"
"180","10.1016/j.biochi.2017.05.004"
"181","10.1016/j.bioorg.2004.11.001"
"182","10.1073/pnas.2212795120"
"183","10.1371/journal.pcbi.1011216"
"184","10.1016/j.jmb.2013.07.003"
"185","10.1021/acs.jpclett.3c00345"
"186","10.1073/pnas.0503456102"
"187","10.1016/j.jmb.2021.167440"
"188","10.3389/fmicb.2014.00170"
"189","10.1098/rstb.2016.0187"
"190","10.1038/nature10913"
"191","10.1016/j.bpj.2011.03.023"
"192","10.1016/j.bpj.2019.10.028"
"193","10.1128/cmr.16.3.430-450.2003"
"194","10.1089/fpd.2013.1605"
"195","10.1038/nsmb.1766"
"196","10.1093/nar/gky1178"
"197","10.1038/emboj.2008.243"
"198","10.1371/journal.pone.0119588"
"199","10.1371/journal.pone.0111811"
"200","10.1016/s0092-8674(02)01086-3"
"201","10.1146/annurev-biochem-060408-173330"
"202","10.1101/cshperspect.a032474"
"203","10.1111/febs.16349"
