"","x"
"168","10.1016/s0092-8674(02)01086-3"
"169","10.1146/annurev-biochem-060408-173330"
"170","10.1101/cshperspect.a032474"
"171","10.7554/elife.60416"
"172","10.1007/s11084-005-2043-y"
"173","10.1111/febs.16349"
"174","10.1016/j.molcel.2005.06.013"
"175","10.1093/nar/gkx1256"
"176","10.1093/nar/gky693"
"177","10.1111/tpj.15970"
"178","10.1016/j.molcel.2005.12.018"
"179","10.1038/nature07115"
"180","10.1016/j.gene.2007.07.017"
