"","x"
"141","10.1105/tpc.113.112342"
"142","10.1039/c7an00722a"
"143","10.1126/scisignal.2002234"
"144","10.1021/pr100356t"
"145","10.1016/j.molcel.2023.11.041"
"146","10.1016/j.chembiol.2012.04.011"
"147","10.1038/s41598-017-08252-y"
"148","10.1002/prot.25801"
"149","10.1038/nbt1009-912"
"150","10.1002/dvdy.22743"
"151","10.1039/d1ob02003j"
"152","10.1016/j.jelechem.2012.11.005"
"153","10.1016/j.tibs.2018.02.009"
"154","10.1002/cbdv.202200554"
"155","10.1016/j.tibs.2009.03.004"
"156","10.1093/mmy/myv098"
"157","10.1016/j.jprot.2021.104432"
"158","10.1038/s41598-020-66349-3"
"159","10.1016/j.celrep.2020.108602"
"160","10.1002/cpch.42"
"161","10.1016/j.trac.2017.11.016"
"162","10.1021/pr100773t"
"163","10.3390/jcdd5010006"
"164","10.1002/jcb.29935"
"165","10.3390/biom11101475"
"166","10.1093/protein/gzq094"
"167","10.1021/jacs.0c11566"
"168","10.1128/msphere.00047-19"
"169","10.1016/j.celrep.2018.02.038"
"170","10.1016/j.jmb.2016.07.009"
"171","10.3390/proteomes6040050"
"172","10.3390/biom12020159"
"173","10.1111/j.1600-065x.2008.00740.x"
"174","10.1038/nrc.2016.49"
"175","10.1371/journal.pone.0146083"
"176","10.3390/biom12121854"
"177","10.18632/aging.205406"
"178","10.1038/srep11585"
