"","x"
"1","10.1146/annurev.biochem.73.011303.073723"
"2","10.1016/j.cub.2009.07.026"
"3","10.1016/j.pbi.2005.07.004"
"4","10.1016/j.febslet.2010.10.032"
"5","10.1634/stemcells.2005-0227"
"6","10.1111/php.12667"
"7","10.1038/sj.emboj.7601703"
"8","10.1007/s00580-010-1120-4"
"9","10.3390/molecules26185460"
"10","10.1093/nar/gkn686"
"11","10.3390/molecules22030356"
"12","10.1155/2009/305908"
"13","10.3389/fmolb.2022.878148"
"14","10.3390/cells11071217"
"15","10.1667/rr13572.1"
"16","10.3389/fcell.2022.826576"
"17","10.1016/j.dnarep.2018.08.011"
"18","10.1016/j.mehy.2005.11.014"
"19","10.1016/j.bmcl.2010.07.034"
"20","10.1038/onc.2012.539"
"21","10.1016/j.biomaterials.2007.11.049"
"22","10.1016/j.dnarep.2005.04.010"
"23","10.1093/carcin/bgs168"
"24","10.1140/epjd/e2017-70818-2"
"25","10.1016/j.exer.2014.10.015"
"26","10.1128/mcb.25.15.6380-6390.2005"
"27","10.1093/nar/gkx1172"
"28","10.1007/s12038-016-9642-9"
"29","10.1016/j.nimb.2008.10.006"
"30","10.1016/j.bulcan.2020.10.020"
"31","10.1016/j.bbadis.2014.04.002"
"32","10.1371/journal.pone.0185794"
"33","10.1093/nar/gkn726"
"34","10.1016/j.heliyon.2019.e01749"
"35","10.1016/j.febslet.2012.09.010"
"36","10.1074/jbc.m802055200"
"37","10.1101/gad.516509"
"38","10.1074/jbc.m504432200"
"39","10.1158/0008-5472.can-05-3403"
"40","10.1007/s00428-014-1570-1"
"41","10.1158/0008-5472.can-10-1316"
"42","10.1158/0008-5472.can-05-4603"
"43","10.3390/md16120479"
"44","10.1186/s12864-022-08706-2"
"45","10.14302/issn.2575-7881.jdrr-20-3267"
"46","10.3390/antiox8110528"
"47","10.1111/j.1471-4159.2006.03779.x"
"48","10.1007/s11033-013-2849-z"
"49","10.1080/15384101.2017.1315492"
"50","10.1038/onc.2012.534"
"51","10.1016/j.ebiom.2020.103056"
"52","10.1016/j.genrep.2021.101238"
"53","10.1016/j.jmb.2005.09.018"
"54","10.1016/j.bios.2013.11.034"
"55","10.1038/sj.onc.1208474"
"56","10.1016/j.bcp.2006.07.015"
"57","10.1016/j.anireprosci.2007.08.011"
"58","10.1021/jm061247v"
"59","10.1016/j.rbmo.2018.12.014"
"60","10.1021/jasms.9b00147"
"61","10.1002/pbc.26825"
"62","10.1007/s12013-007-0032-7"
"63","10.1002/path.1893"
"64","10.1093/nar/gkv520"
"65","10.3390/ijms22062935"
"66","10.1038/sj.emboj.7601668"
"67","10.1007/s11130-017-0644-z"
"68","10.1073/pnas.1525620113"
"69","10.1074/jbc.m409243200"
"70","10.3724/sp.j.1206.2009.01530"
"71","10.1016/j.dnarep.2014.01.001"
"72","10.3390/cancers3010621"
"73","10.1016/j.cbpc.2009.05.009"
"74","10.1016/j.tcb.2006.09.004"
"75","10.3892/ijmm.2019.4386"
"76","10.1007/s00214-018-2255-7"
"77","10.4049/jimmunol.1203442"
"78","10.1093/nar/gkab293"
"79","10.1049/syb2.12017"
"80","10.1158/1078-0432.ccr-07-1610"
"81","10.3732/ajb.1400010"
"82","10.1038/nm0305-257"
"83","10.3389/fphys.2017.00352"
"84","10.1016/j.ejmech.2021.113281"
"85","10.3389/fmed.2020.615981"
"86","10.1016/j.ejphar.2011.03.041"
"87","10.3390/cells8040300"
"88","10.1016/j.arr.2014.10.004"
"89","10.1088/1009-0630/10/2/22"
"90","10.1080/15384101.2021.1897271"
"91","10.3389/fpls.2022.918206"
"92","10.1039/c9an02569c"
"93","10.1016/j.tiv.2017.10.021"
"94","10.1021/tx050283e"
"95","10.1038/nrm3591"
"96","10.1105/tpc.106.045047"
"97","10.1074/jbc.m109.076109"
"98","10.1111/j.1751-1097.2005.tb01476.x"
"99","10.1080/09553002.2018.1440094"
"100","10.1371/journal.pone.0051776"
"101","10.1093/carcin/bgp230"
"102","10.1021/acs.jmedchem.0c01346"
"103","10.1016/j.taap.2010.12.009"
"104","10.1093/jnen/nlw064"
"105","10.1093/nar/gkn1075"
"106","10.1371/journal.pone.0068297"
"107","10.1186/1476-4598-9-303"
"108","10.1007/s11912-010-0119-y"
"109","10.1021/bi050014n"
"110","10.1371/journal.pone.0075367"
"111","10.1038/onc.2010.407"
"112","10.1038/nature22488"
"113","10.1073/pnas.0706316104"
"114","10.1007/s10620-017-4696-6"
"115","10.1158/0008-5472.can-12-1994"
"116","10.1371/journal.pone.0144392"
"117","10.1038/s41419-022-04982-8"
"118","10.1073/pnas.0705317104"
"119","10.1101/cshperspect.a036343"
"120","10.1667/rr1239.1"
"121","10.1073/pnas.0803001105"
"122","10.1371/journal.pone.0021410"
"123","10.1002/jcp.28734"
"124","10.1016/j.talanta.2013.12.020"
"125","10.1016/j.ejphar.2018.04.020"
"126","10.1016/j.taap.2008.06.017"
"127","10.1002/jcp.28258"
"128","10.1016/j.intimp.2023.110492"
"129","10.1002/jcp.25989"
"130","10.1091/mbc.e09-11-0958"
"131","10.1080/15412555.2016.1214948"
"132","10.1093/nar/gkaa130"
"133","10.1007/s42764-021-00044-z"
"134","10.1038/onc.2009.438"
"135","10.1007/s10637-010-9423-5"
"136","10.1091/mbc.e08-02-0215"
"137","10.1038/s41392-022-01182-w"
"138","10.1016/j.tibs.2008.10.010"
"139","10.1016/j.jtbi.2007.07.025"
"140","10.1093/nar/gkn1000"
"141","10.1016/j.tranon.2023.101728"
"142","10.1016/j.canlet.2007.01.011"
"143","10.1021/bi100380n"
"144","10.1242/dev.014969"
"145","10.1128/ecosalplus.7.2.4"
"146","10.3390/ijms21030820"
"147","10.1177/154405910808700302"
"148","10.1016/j.bbamcr.2005.11.009"
"149","10.1128/mcb.25.16.7021-7032.2005"
"150","10.1111/ajt.13963"
"151","10.1016/j.mod.2009.05.004"
"152","10.1080/09553000902741190"
"153","10.3390/v7052542"
"154","10.1167/tvst.10.8.4"
"155","10.18632/oncotarget.1780"
"156","10.1111/gtc.12932"
"157","10.1186/1756-8722-4-17"
"158","10.1089/cbr.2011.0987"
"159","10.1073/pnas.1318367111"
"160","10.1186/1471-2407-13-498"
"161","10.1158/0008-5472.can-06-2565"
"162","10.1515/revneuro-2017-0006"
"163","10.1074/jbc.r117.807453"
"164","10.1074/jbc.ra118.006121"
"165","10.1002/ptr.3436"
"166","10.1016/j.molcel.2009.04.020"
"167","10.1016/j.envres.2021.110959"
"168","10.1042/bst20110687"
"169","10.1074/jbc.m808893200"
"170","10.1074/jbc.m602826200"
"171","10.1039/c4pp00272e"
"172","10.1371/journal.pone.0160801"
"173","10.1038/s41419-018-0700-0"
"174","10.1074/jbc.m411588200"
"175","10.1074/jbc.m803111200"
"176","10.1016/j.preteyeres.2016.05.001"
"177","10.1083/jcb.200909175"
"178","10.1007/s10955-015-1445-0"
"179","10.3390/e25060881"
"180","10.1016/j.pharmthera.2022.108175"
"181","10.1038/ncomms6849"
"182","10.1039/c5tx00302d"
