"","x"
"88","10.1016/j.trac.2011.08.006"
"89","10.3390/biomedicines3030248"
"90","10.3233/jad-200208"
"91","10.1038/scibx.2012.458"
"92","10.1038/s41588-022-01051-w"
"93","10.3390/nu13082483"
"94","10.1002/ange.201503652"
"95","10.1016/j.ajhg.2024.01.006"
"96","10.1164/rccm.202301-0067oc"
"97","10.1016/j.atherosclerosis.2015.10.092"
"98","10.3390/s131013624"
"99","10.3389/fimmu.2021.729681"
"100","10.1016/j.snb.2014.05.135"
"101","10.1016/j.cell.2013.04.015"
"102","10.1021/acs.langmuir.5b03024"
"103","10.1063/1.4894851"
"104","10.1002/elps.201900028"
"105","10.1371/journal.pone.0210286"
"106","10.1080/20013078.2017.1369805"
"107","10.2337/dc19-1902"
"108","10.15252/emmm.201707604"
"109","10.1038/srep15552"
"110","10.1002/anie.201309334"
"111","10.1016/j.jacbts.2020.11.011"
"112","10.1038/s43587-021-00028-4"
"113","10.1016/j.bbapap.2013.09.010"
"114","10.1007/s40620-018-0556-5"
"115","10.1016/j.jcf.2022.03.012"
"116","10.1093/sleep/zsaa086"
"117","10.1002/ange.202008663"
"118","10.18097/pbmc20156102239"
"119","10.1002/ppul.22805"
"120","10.1016/j.msard.2018.11.032"
"121","10.1038/s41598-020-74823-1"
"122","10.3390/metabo9060117"
"123","10.1007/s00216-017-0599-9"
"124","10.1016/j.nbt.2018.01.002"
"125","10.1161/atvbaha.113.301806"
"126","10.1021/acs.jproteome.2c00544"
"127","10.1002/hep4.1670"
"128","10.1149/2754-2726/accd7e"
"129","10.1016/j.clml.2022.07.001"
"130","10.1371/journal.pone.0194225"
"131","10.1080/14789450.2018.1402680"
"132","10.1039/c5an01995h"
"133","10.1016/j.actbio.2016.07.035"
"134","10.1016/j.bios.2018.06.025"
"135","10.1021/jacs.6b10767"
"136","10.1021/jacs.5b02251"
"137","10.3390/ijms19092775"
"138","10.1016/j.jalz.2019.06.4951"
"139","10.1002/ange.201601529"
"140","10.1039/d3cb00159h"
"141","10.1038/s41467-021-21716-0"
"142","10.1016/j.jmb.2022.167501"
"143","10.1016/j.nbd.2023.105997"
"144","10.1063/1.4890542"
"145","10.1002/cbic.201700276"
"146","10.2139/ssrn.4138708"
"147","10.1186/s13075-016-1006-1"
"148","10.1007/s00125-022-05678-6"
"149","10.1038/s41576-022-00511-7"
"150","10.1002/pmic.201300187"
"151","10.1002/lary.27581"
"152","10.3402/jev.v5.31209"
"153","10.1155/2012/748913"
"154","10.1186/1477-5956-9-73"
"155","10.1371/journal.pone.0264341"
"156","10.1016/j.redox.2021.102160"
"157","10.1186/s13075-023-03044-4"
"158","10.1038/s41598-023-32216-0"
"159","10.1002/alr.22226"
"160","10.1093/nar/gkw725"
"161","10.1038/s43587-022-00293-x"
"162","10.1016/j.aca.2014.10.009"
"163","10.3390/cancers12051147"
"164","10.1111/lam.12295"
"165","10.1038/mtna.2014.49"
"166","10.1016/j.biomaterials.2018.03.008"
"167","10.1002/adma.202003704"
"168","10.1021/acsnano.8b03441"
"169","10.3109/1061186x.2015.1041962"
"170","10.1038/s43587-021-00064-0"
"171","10.1002/cpch.28"
"172","10.1038/srep43697"
"173","10.1074/mcp.ra117.000291"
"174","10.3390/cells11111825"
"175","10.1016/s2352-4642(23)00166-9"
"176","10.1038/s41467-021-22767-z"
"177","10.1038/s43587-020-00002-6"
"178","10.1038/s41467-022-32275-3"
"179","10.3390/molecules27030997"
"180","10.1167/tvst.8.1.14"
