"","x"
"1","10.1371/journal.pone.0015004"
"2","10.1172/jci149236"
"3","10.1158/1535-7163.mct-18-0417"
"4","10.3389/fgene.2019.00535"
"5","10.1155/2013/817350"
"6","10.1021/acs.jchemed.3c00067"
"7","10.1093/hmg/dds186"
"8","10.1126/sciadv.abi8178"
"9","10.1039/d2cc03588j"
"10","10.1111/j.1365-2443.2012.01596.x"
"11","10.1021/acs.analchem.0c04592"
"12","10.1016/j.ekir.2022.04.006"
"13","10.1136/rmdopen-2023-003042"
"14","10.1016/j.bbih.2024.100731"
"15","10.1038/srep46560"
"16","10.1002/anie.201503652"
"17","10.1016/j.clnu.2019.09.010"
"18","10.1016/j.jhep.2021.09.026"
"19","10.1016/j.ijbiomac.2019.03.165"
"20","10.1016/j.bios.2015.11.044"
"21","10.1186/s40364-018-0143-x"
"22","10.1186/s12951-021-00959-5"
"23","10.1093/hmg/ddy006"
"24","10.1021/acs.analchem.7b05277"
"25","10.1016/j.cotox.2017.06.008"
"26","10.1128/jcm.00469-17"
"27","10.1016/j.nbt.2011.11.016"
"28","10.3390/cancers15102672"
"29","10.3390/cells12060855"
"30","10.3389/fphys.2021.723510"
"31","10.1002/prca.201500060"
"32","10.1016/j.biochi.2017.11.015"
"33","10.3390/s150716281"
"34","10.1158/1078-0432.ccr-22-2340"
"35","10.1071/rd14409"
"36","10.1111/acel.13325"
"37","10.1210/jendso/bvab156"
"38","10.1021/ja4012222"
"39","10.1371/journal.pone.0025583"
"40","10.1111/joim.13306"
"41","10.1016/j.jacc.2019.01.074"
"42","10.1016/j.xcrm.2023.101172"
"43","10.1111/dom.13602"
"44","10.3233/jad-200358"
"45","10.1002/0471142700.nc0906s56"
"46","10.1038/srep17014"
"47","10.1016/j.biotechadv.2018.07.005"
"48","10.1002/advs.202104426"
"49","10.3390/microarrays4030424"
"50","10.1039/c7sc04491g"
"51","10.3390/cancers15072071"
"52","10.1038/s41598-023-36428-2"
"53","10.1681/asn.0000000000000108"
"54","10.1111/acel.13253"
"55","10.3346/jkms.2018.33.e342"
"56","10.1186/s12263-017-0553-7"
"57","10.1007/s12265-019-09896-z"
"58","10.1016/j.trac.2012.08.005"
"59","10.1007/s11357-023-00740-6"
"60","10.1016/j.snb.2017.02.098"
"61","10.1002/em.22518"
"62","10.1089/nat.2017.0683"
"63","10.1186/1559-0275-11-32"
"64","10.1039/c5an01918d"
"65","10.12688/gatesopenres.13635.2"
"66","10.3390/genes9110529"
"67","10.1021/acs.accounts.5b00544"
"68","10.1126/scitranslmed.abj2109"
"69","10.3390/pharmaceutics12070646"
"70","10.1093/ecco-jcc/jjy190"
"71","10.1161/jaha.120.017427"
"72","10.1161/circulationaha.119.045158"
"73","10.1016/j.ab.2020.113627"
"74","10.1038/mtna.2014.34"
"75","10.1161/circresaha.116.308391"
"76","10.1038/nm1014-1082"
"77","10.1146/annurev-pharmtox-010716-104558"
"78","10.3390/molecules24234229"
"79","10.1172/jci.insight.134838"
"80","10.1038/s41586-018-0175-2"
"81","10.1002/anie.201605058"
"82","10.1016/j.bioorg.2020.103829"
"83","10.1371/journal.pone.0202727"
"84","10.1007/s11926-018-0762-0"
"85","10.1038/nprot.2018.023"
"86","10.1146/annurev-biophys-102121-103615"
"87","10.1039/c2lc40195a"
