"","x"
"130","10.1073/pnas.1708689114"
"131","10.1086/308434"
"132","10.1103/physreve.85.020104"
"133","10.1088/1742-5468/ab3340"
"134","10.1103/physrevlett.58.1792"
"135","10.1038/nnano.2007.23"
"136","10.1103/revmodphys.81.1"
"137","10.1007/s10701-019-00289-5"
"138","10.1103/physreve.97.052111"
"139","10.1103/physrevx.4.031015"
"140","10.1103/physrevlett.53.391"
"141","10.1016/s0303-2647(99)00039-8"
"142","10.1016/j.heliyon.2023.e15005"
"143","10.1103/physrevlett.120.020601"
"144","10.1103/physrevx.5.041039"
"145","10.1063/1.3649949"
"146","10.3390/e6010102"
"147","10.1039/c6sc03892a"
"148","10.1088/2399-7532/ab3332"
"149","10.1007/bf02058274"
"150","10.1109/mpot.2009.932093"
"151","10.1073/pnas.0909380107"
"152","10.1103/physreve.86.040106"
"153","10.1016/j.ijleo.2005.11.005"
"154","10.1016/j.jtbi.2008.02.013"
"155","10.1021/acssynbio.5b00229"
"156","10.1103/physrevlett.128.200501"
"157","10.1098/rsfs.2011.0118"
"158","10.1098/rspa.1998.0160"
"159","10.1038/nphys1821"
"160","10.1103/physreve.52.3495"
"161","10.1088/1742-5468/2016/10/103207"
"162","10.1142/s0219525902000638"
"163","10.1103/physrevlett.102.250602"
"164","10.1007/s10955-006-9220-x"
"165","10.1002/sres.2824"
"166","10.1103/physreve.92.032113"
"167","10.1007/bf00673003"
"168","10.1063/1.1372765"
"169","10.1016/j.newideapsych.2008.06.002"
"170","10.1111/zygo.12059"
"171","10.1007/s10701-015-9968-4"
"172","10.1088/1367-2630/aaf81d"
"173","10.1088/2399-6528/abaf99"
"174","10.1209/0295-5075/95/40004"
"175","10.1103/physrevlett.100.080403"
"176","10.1103/physrevlett.95.120503"
"177","10.1016/j.bpj.2023.04.009"
"178","10.1063/5.0043671"
"179","10.1103/physrevb.105.155401"
"180","10.1063/5.0077865"
"181","10.1103/physrevlett.115.260603"
"182","10.1073/pnas.0802049105"
