"","x"
"1","10.1007/bf02084158"
"2","10.1088/1367-2630/15/12/125012"
"3","10.1364/ol.25.000257"
"4","10.1098/rsif.2022.0694"
"5","10.1016/0083-6656(93)90051-k"
"6","10.1002/que2.82"
"7","10.3390/e26020112"
"8","10.1007/bf02058888"
"9","10.1103/physreve.93.052140"
"10","10.1088/2058-9565/ab8ebb"
"11","10.1063/1.4967335"
"12","10.1038/s41598-017-08038-2"
"13","10.1103/physreve.83.061120"
"14","10.1007/s11047-010-9226-9"
"15","10.1142/s0219749922500174"
"16","10.1038/srep07553"
"17","10.1016/j.isci.2019.08.007"
"18","10.1557/s43577-021-00207-z"
"19","10.1063/1.4974027"
"20","10.1063/5.0123765"
"21","10.1111/j.1749-6632.1986.tb12450.x"
"22","10.1098/rstb.2019.0624"
"23","10.1016/j.biosystems.2021.104513"
"24","10.1103/physreve.106.044134"
"25","10.1088/1367-2630/2/1/10"
"26","10.1103/physrevlett.111.010602"
"27","10.1103/physrevx.8.021011"
"28","10.1021/acs.chemrev.9b00254"
"29","10.1103/physreve.101.022415"
"30","10.1007/s12045-021-1141-0"
"31","10.1038/335779a0"
"32","10.1016/0303-2647(85)90078-4"
"33","10.1145/5001.5005"
"34","10.1088/1361-6633/aa872f"
"35","10.1038/srep03204"
"36","10.1109/tnano.2011.2152851"
"37","10.1016/j.pbiomolbio.2022.05.006"
"38","10.1021/bi0505060"
"39","10.3390/e23070895"
"40","10.1063/5.0131808"
"41","10.1080/03081079.2014.920998"
"42","10.2139/ssrn.2397751"
"43","10.1109/jproc.2010.2066531"
"44","10.1143/jjap.51.06fe10"
"45","10.1088/1751-8121/ab0850"
"46","10.1073/pnas.1207814109"
"47","10.1088/0957-4484/26/24/245202"
"48","10.1002/pssb.202300021"
"49","10.1038/s41598-021-92661-7"
"50","10.1109/tnano.2013.2284777"
"51","10.1007/s10701-018-0146-3"
"52","10.1021/nl2015872"
"53","10.1103/physrevlett.120.100601"
"54","10.3390/foundations3030030"
"55","10.1103/physrevlett.116.190601"
"56","10.1103/physrevlett.54.735"
"57","10.1063/9.0000582"
"58","10.1103/physrevlett.117.200601"
"59","10.1007/s11047-017-9646-x"
"60","10.1063/1.4999771"
"61","10.1103/revmodphys.92.025001"
"62","10.1007/s10015-022-00747-w"
"63","10.1088/2634-4386/aca7de"
"64","10.1093/bib/bbaa107"
"65","10.1088/0305-4470/38/32/007"
"66","10.3390/e17020710"
"67","10.1103/physrevresearch.2.033524"
"68","10.1209/0295-5075/133/30002"
"69","10.3390/e19030107"
"70","10.3390/axioms13020111"
"71","10.1007/bf02728444"
"72","10.1088/1367-2630/ac6b30"
"73","10.1007/s10773-018-3671-0"
"74","10.1073/pnas.2023356118"
"75","10.1007/bf01044731"
"76","10.1016/j.ic.2020.104631"
"77","10.1515/fcds-2018-0010"
"78","10.1209/0295-5075/98/30013"
"79","10.1038/s41570-023-00558-y"
"80","10.1002/chem.202304230"
"81","10.1038/srep03038"
"82","10.3390/e15083297"
"83","10.1103/physreva.60.2777"
"84","10.1103/physreve.106.024124"
"85","10.1007/bf01211087"
"86","10.1111/phc3.12464"
"87","10.1080/00107514.2015.1121604"
"88","10.1016/j.physd.2023.133713"
"89","10.1103/physreva.89.032327"
"90","10.1179/isr.1991.16.1.45"
"91","10.1016/j.shpsb.2004.04.001"
"92","10.1109/18.681318"
"93","10.1103/physreve.91.062117"
"94","10.1103/physrevb.98.045433"
"95","10.1103/physreve.97.022121"
"96","10.1073/pnas.2210500120"
"97","10.1103/physrevresearch.3.013232"
"98","10.1007/bf00670475"
"99","10.1109/tcad.2015.2481793"
"100","10.1088/1751-8121/aa996b"
"101","10.1103/physreve.106.054146"
"102","10.1103/physreva.84.052101"
"103","10.1089/ast.2012.0882"
"104","10.1016/j.tcs.2004.06.011"
"105","10.1103/revmodphys.95.031001"
"106","10.1002/aelm.202200225"
"107","10.1088/0957-4484/4/1/002"
"108","10.3390/e25081155"
"109","10.1007/s10773-006-9086-3"
"110","10.1016/j.physleta.2009.12.042"
"111","10.1162/neco_a_01632"
"112","10.1016/j.biosystems.2022.104714"
"113","10.1103/physreve.84.061117"
"114","10.1103/physrevlett.128.010602"
"115","10.1142/s0218348x97000565"
"116","10.1109/mts.2018.2876105"
"117","10.1088/0305-4470/34/35/308"
"118","10.1063/5.0069582"
"119","10.1103/physreve.108.034112"
"120","10.1016/s0167-2789(98)00044-x"
"121","10.1103/physrevlett.120.210601"
"122","10.1038/ncomms15301"
"123","10.1103/physreve.98.022124"
"124","10.3390/info3040739"
"125","10.1103/physreve.76.031105"
"126","10.1007/s10701-019-00300-z"
"127","10.1140/epjst/e2018-00093-9"
"128","10.1016/j.entcs.2010.02.004"
"129","10.1103/physrevlett.62.2124"
