"","x"
"1","10.3389/fmolb.2022.851646"
"2","10.1038/nature19791"
"3","10.1038/s41589-018-0039-y"
"4","10.1021/acs.jpcb.8b10649"
"5","10.3390/molecules25122751"
"6","10.1039/c9cc07898c"
"7","10.1016/j.jinorgbio.2021.111391"
"8","10.1021/acs.jcim.8b00375"
"9","10.1016/j.ddtec.2017.11.007"
"10","10.2174/1381612828666220929154255"
"11","10.2174/138161282909230412124303"
"12","10.1016/j.crstbi.2021.02.002"
"13","10.1016/j.ijbiomac.2024.130419"
"14","10.1021/acs.jcim.8b00267"
"15","10.1002/pamm.202000166"
"16","10.1002/ddr.21398"
"17","10.1038/s41467-020-20250-9"
"18","10.1073/pnas.2012800118"
"19","10.1038/s41467-021-23609-8"
"20","10.1080/17460441.2021.1918097"
"21","10.3390/molecules26185629"
"22","10.1016/j.jsb.2017.09.001"
"23","10.1016/j.sbi.2021.02.002"
"24","10.1002/adma.201804971"
"25","10.1002/chem.202203225"
"26","10.1038/s41592-020-0848-2"
"27","10.1039/d1ra01455b"
"28","10.1002/jcc.25589"
"29","10.1021/acs.jctc.1c00415"
"30","10.1002/pro.3721"
"31","10.1073/pnas.1914982117"
"32","10.1002/cbic.202200013"
"33","10.1002/cbic.201800346"
"34","10.1039/d1md00083g"
"35","10.1016/j.biotechadv.2022.108032"
"36","10.1016/j.biopha.2023.114976"
"37","10.1016/j.matt.2019.09.013"
"38","10.1016/j.giant.2022.100092"
"39","10.1002/cbic.201800558"
"40","10.1002/pep2.24177"
"41","10.1002/cbic.202200588"
"42","10.1039/d3sc03758d"
"43","10.1021/jacs.2c04620"
"44","10.1021/jacs.3c12215"
"45","10.1021/acs.accounts.7b00186"
"46","10.1021/acs.jmedchem.2c01077"
"47","10.1080/07391102.2023.2212796"
"48","10.1039/d1md00098e"
"49","10.1002/psc.3560"
"50","10.1039/d1sc02952e"
"51","10.1021/acschembio.2c00083"
"52","10.1016/j.bmcl.2022.128806"
"53","10.1021/acs.jmedchem.3c01543"
"54","10.1002/ange.201813827"
"55","10.1002/ajoc.202200340"
"56","10.1016/j.slasd.2022.10.003"
"57","10.1002/cbic.202100450"
"58","10.1073/pnas.2210435119"
"59","10.1002/anie.201801361"
"60","10.1016/j.biotechadv.2022.107908"
"61","10.1111/febs.14394"
"62","10.1016/j.cclet.2018.03.015"
"63","10.1021/acs.bioconjchem.1c00378"
"64","10.1002/pro.3758"
"65","10.1016/j.drudis.2021.01.022"
"66","10.1002/pro.3974"
"67","10.1007/s11244-018-0953-y"
"68","10.1016/j.bcp.2020.114291"
"69","10.1007/s10989-023-10543-0"
"70","10.1073/pnas.2102168118"
"71","10.1016/j.colsurfa.2023.131900"
"72","10.1038/s41594-021-00649-8"
"73","10.1016/j.cbpa.2021.102104"
"74","10.1186/s12870-018-1361-y"
"75","10.1002/prot.25445"
"76","10.1016/j.sbi.2023.102645"
"77","10.1073/pnas.2207327119"
"78","10.1016/j.ijbiomac.2023.128455"
"79","10.1080/17460441.2020.1751117"
"80","10.18359/rfcb.5434"
"81","10.1002/syst.202000025"
"82","10.1021/acs.chemrev.1c00089"
"83","10.1021/acs.orglett.9b00378"
"84","10.1039/c9gc03600h"
"85","10.3389/fmolb.2022.848689"
"86","10.1002/pro.4491"
"87","10.1080/17460441.2019.1552936"
"88","10.1080/17460441.2020.1758664"
"89","10.1021/acs.analchem.8b01624"
"90","10.1021/acsomega.0c02574"
"91","10.1039/d2sm00606e"
"92","10.1038/s41594-018-0141-6"
"93","10.3389/fimmu.2022.999034"
"94","10.1021/acs.nanolett.3c01983"
"95","10.1002/pro.4908"
"96","10.1002/cbic.202300745"
"97","10.3390/ijms22041611"
"98","10.1039/d2md00027j"
"99","10.1080/17460441.2021.1961740"
"100","10.1111/cbdd.14180"
"101","10.1515/psr-2020-0125"
"102","10.3390/plants10122717"
"103","10.3389/fbioe.2020.568318"
"104","10.1016/j.bpj.2024.01.029"
"105","10.1126/science.aau3775"
"106","10.1021/acs.analchem.8b01556"
"107","10.1021/acs.analchem.9b03129"
"108","10.1074/jbc.ra118.004146"
"109","10.1038/s41467-023-40023-4"
"110","10.1093/bib/bbad289"
"111","10.1002/chem.202303889"
"112","10.1039/d2sc00924b"
"113","10.1021/acsbiomedchemau.3c00060"
"114","10.1038/s41467-021-27222-7"
"115","10.1016/j.chemolab.2023.104941"
"116","10.1021/acs.jnatprod.1c00672"
"117","10.1021/jacs.2c12462"
"118","10.1038/s41589-023-01329-y"
"119","10.1038/s41467-022-33004-6"
"120","10.1016/j.biotechadv.2018.10.011"
"121","10.3389/fmolb.2020.582702"
"122","10.1073/pnas.2116097119"
"123","10.1016/j.jinorgbio.2023.112206"
"124","10.1002/pep2.24326"
"125","10.3390/mca26020039"
"126","10.3390/axioms11120729"
"127","10.1371/journal.pcbi.1009037"
"128","10.1016/j.energy.2022.126444"
"129","10.1002/anie.201611914"
"130","10.1016/j.jmb.2021.167160"
"131","10.1186/s12859-023-05281-5"
"132","10.1186/s40580-021-00294-3"
"133","10.1021/acs.langmuir.2c02964"
"134","10.1146/annurev-micro-090816-093247"
"135","10.1002/ange.202304692"
"136","10.1002/cbic.201900225"
"137","10.1016/j.pep.2019.01.007"
"138","10.1016/j.pep.2021.105953"
"139","10.1038/nchembio.2380"
"140","10.1126/science.aap9608"
"141","10.1002/wcms.1318"
"142","10.3389/fbioe.2019.00099"
"143","10.1002/anie.201813827"
"144","10.1021/acs.jpclett.2c02385"
"145","10.1371/journal.pone.0287200"
"146","10.1002/psc.3570"
"147","10.1021/acs.jctc.1c00077"
"148","10.1021/acs.langmuir.3c02609"
"149","10.1038/s41587-024-02127-0"
"150","10.1002/chem.202301410"
"151","10.1021/acs.biochem.7b00722"
"152","10.1093/protein/gzy028"
"153","10.1111/febs.16819"
"154","10.1002/ange.202308251"
"155","10.1016/j.tips.2019.04.012"
"156","10.3390/foods11182809"
"157","10.3390/life7020023"
"158","10.3390/life11090872"
